year,event_rank,event_text,source_url,source_element_index
1880,8,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1880n.shtml,68
1880,9,"On May 20, 1880, Cap Anson alternated Larry Corcoran and Fred Goldsmith which ""created"" the first known / well-recorded pitching rotation.",https://www.baseball-almanac.com/yearly/yr1880n.shtml,69
1880,10,"On June 10, 1880, Charlie Jones of Boston hit two home runs during one inning. That was the first time it had happened in Major League history and a record that has still only been tied.",https://www.baseball-almanac.com/yearly/yr1880n.shtml,70
1880,11,"On June 12, 1880, John Richmond pitched the first perfect game in history. Five days later, Monte Ward would pitch the second perfect game in history. However, the next National League perfect game would not occur until June 21, 1964 — nearly eighty-five years later.",https://www.baseball-almanac.com/yearly/yr1880n.shtml,71
1881,1,Roger Conner of the Troy Trojans hit the first grand slam in Major League history en route to an 8-7 win over the Worcester Ruby Legs.,https://www.baseball-almanac.com/yearly/yr1881n.shtml,60
1881,2,"On September 27th, twelve die-hard fans braved a rainstorm to watch their hometown hero Chicago White Stockings beat the Troy Trojans 10-8 as the smallest paying crowd in major league history.",https://www.baseball-almanac.com/yearly/yr1881n.shtml,61
1881,3,A rival league known as the American Association was formed in St. Louis to compete against the Nationals in 1882.,https://www.baseball-almanac.com/yearly/yr1881n.shtml,62
1881,4,← 1880 | 1881 Hitting Statistics League Leaders | 1882 →,https://www.baseball-almanac.com/yearly/yr1881n.shtml,64
1881,5,← 1880 | 1881 Pitching Statistics League Leaders | 1882 →,https://www.baseball-almanac.com/yearly/yr1881n.shtml,65
1881,6,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1881n.shtml,67
1881,7,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1881n.shtml,68
1881,8,"On June 20, 1881, another Red Stocking team took the field in Cincinnati. This team would move to the breakaway American Association then eventually return to the National League to become the modern day Cincinnati Reds.",https://www.baseball-almanac.com/yearly/yr1881n.shtml,69
1881,9,"On September 10, 1881, Roger Connor of Troy hit the first grand slam in National League history off Lee Richmond of Worcester.",https://www.baseball-almanac.com/yearly/yr1881n.shtml,70
1881,10,"At the end of the 1881 season, Jim Whitney led the league in wins (thirty-one) and losses (thirty-three). This unusual dual led statistical combination would not be matched until 1979 by Phil Niekro.",https://www.baseball-almanac.com/yearly/yr1881n.shtml,71
1882,1,"For the first time, teams in the National League were permitted to wear colored uniforms. Although the league would not mandate what colors were used, they later determined all stocking colors for the following season.",https://www.baseball-almanac.com/yearly/yr1882n.shtml,60
1882,2,The Chicago White Stockings set a Major League record after scoring a 35-4 win over the Cleveland Blues. Outfielder-turned pitcher Dave Rowe surrendered twenty-nine hits (including ten doubles and seven walks) in his only appearance on the mound.,https://www.baseball-almanac.com/yearly/yr1882n.shtml,61
1882,3,"Ambidextrous Tony Mullane of the Louisville Eclipse pitched right AND left handed during a July 18th, 9-8 loss to the Baltimore Orioles.",https://www.baseball-almanac.com/yearly/yr1882n.shtml,62
1882,4,The Cincinnati Red Stockings executed a rare triple play — three times in the season — thanks to pitcher Will White who was on the mound for two of them.,https://www.baseball-almanac.com/yearly/yr1882n.shtml,63
1882,5,"In December, the American Association became the first league to hire full-time umpires.",https://www.baseball-almanac.com/yearly/yr1882n.shtml,64
1882,6,"""Little wonder that he (Old Hoss Radbourn) is considered the premier pitcher of the 19th century."" - National Baseball Hall of Fame",https://www.baseball-almanac.com/yearly/yr1882n.shtml,65
1882,7,← 1881 | 1882 Hitting Statistics League Leaders | 1883 →,https://www.baseball-almanac.com/yearly/yr1882n.shtml,66
1882,8,← 1881 | 1882 Pitching Statistics League Leaders | 1883 →,https://www.baseball-almanac.com/yearly/yr1882n.shtml,67
1882,9,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1882n.shtml,69
1882,10,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1882n.shtml,70
1882,11,"On August 17, 1882, ace pitcher Old Hoss Radbourn hit a home run during the eighteenth inning to end a marathon shutout.",https://www.baseball-almanac.com/yearly/yr1882n.shtml,71
1882,12,"Did you know that on September 20, 1882, Larry Corcoran pitched his second career no hitter?",https://www.baseball-almanac.com/yearly/yr1882n.shtml,72
1882,13,"On September 25, 1882, the Brown Stockings charged fans one admission price yet allowed them to view both ends of a doubleheader - prior to this game, fans were charged two separate admissions.",https://www.baseball-almanac.com/yearly/yr1882n.shtml,73
1882,6,1882 Hitting Statistics League Leaders | 1883 →,https://www.baseball-almanac.com/yearly/yr1882a.shtml,66
1882,7,1882 Pitching Statistics League Leaders | 1883 →,https://www.baseball-almanac.com/yearly/yr1882a.shtml,67
1882,10,"On May 2, 1882, the American Association had its first ever regular season game where the Pittsburgh Alleghenys defeated the Cincinnati Red Stockings 10-9.",https://www.baseball-almanac.com/yearly/yr1882a.shtml,71
1882,11,"Did you know that on July 18, 1882, Tony Mullane was pitching in a game versus the Baltimore Orioles. During the fourth inning he began pitching left-handed to left-handed hitters and switched back to right-handed for right handed hitters!",https://www.baseball-almanac.com/yearly/yr1882a.shtml,72
1882,12,"The Philadelphia Athletics reported a $22,000 profit at seasons end - more than any team in either the American Association or National League. But things were not always perfect during the inaugural season as the Baltimore Orioles once had to wear civilian clothes on September 11, 1882 due to their uniforms being held at a local train station.",https://www.baseball-almanac.com/yearly/yr1882a.shtml,73
1883,1,"The National League regulated stockings for the first time as Boston wore red, Buffalo; gray, Chicago; white, Cleveland; blue, Providence; light blue, Detroit; brown, Philadelphia; blue and white checks and New York; crimson and black.",https://www.baseball-almanac.com/yearly/yr1883a.shtml,60
1883,2,"Charles ""Old Hoss"" Radbourn tossed an 8-0 no-hitter against the Cleveland Blues on July 25th. Radbourn was one of the most dominant pitchers of his day winning thirty-one in 1882, forty-nine in 1883 and an incredible sixty games in 1884 (including twenty-six out of the final twenty-seven).",https://www.baseball-almanac.com/yearly/yr1883a.shtml,61
1883,3,"Hugh Daily, a one armed pitcher for Cleveland, threw a 1-0 no-hitter against Philadelphia on September 13th. Known as ""One Arm"", Daily pitched six seasons in the Major Leagues compiling a 73-87 record.",https://www.baseball-almanac.com/yearly/yr1883a.shtml,62
1883,4,"During the pre-season, the American Association and National League agreed to terms of peace including a promise not to raid players from each other's league.",https://www.baseball-almanac.com/yearly/yr1883a.shtml,63
1883,5,"The American Association champion Philadelphia Athletics lost their first eight post-season exhibition games resulting in the cancellation of a ""World Series"" against the National League pennant-winning Boston Beaneaters.",https://www.baseball-almanac.com/yearly/yr1883a.shtml,64
1883,6,"""(John) Reilly was one of the major league American Association's stars, and he played his entire career in his hometown of Cincinnati. A smooth-fielding, 6'3"" first baseman, Long John tied for the AA lead with eleven home runs in 1884 and led with thirteen HR and one-hundred three RBI in 1888."" - Professor / Historian Duane A. Smith",https://www.baseball-almanac.com/yearly/yr1883a.shtml,65
1883,7,← 1882 | 1883 Hitting Statistics League Leaders | 1884 →,https://www.baseball-almanac.com/yearly/yr1883a.shtml,66
1883,8,← 1882 | 1883 Pitching Statistics League Leaders | 1884 →,https://www.baseball-almanac.com/yearly/yr1883a.shtml,67
1883,9,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1883a.shtml,69
1883,10,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1883a.shtml,70
1883,11,"On July 4, 1883, Tim Keefe of the New York Metropolitans pitched both ends of a doubleheader and finished with two complete game victories and allowed a total of three hits.",https://www.baseball-almanac.com/yearly/yr1883a.shtml,71
1883,12,"Did you know that after the Louisville Eclipse played the Pittsburgh Alleghenys on August 20, 1883, the league fined Mike Mansell and George Creamer $100 each for playing drunk?",https://www.baseball-almanac.com/yearly/yr1883a.shtml,72
1883,13,"On September 12, 1883, Cincinnati Red Stockings first baseman John Reilly hit for the cycle. Seven days later Reilly hit for the cycle a second time and became the first Major League player to hit for the cycle twice during the same season.",https://www.baseball-almanac.com/yearly/yr1883a.shtml,73
1883,2,"Charles ""Old Hoss"" Radbourn tossed an 8-0 no-hitter against the Cleveland Blues on July 25, 1883. Radbourn was one of the most dominant pitchers of his day winning thirty-one games in 1882, forty-nine in 1883, and an incredible fifty-nine games in 1884 (including twenty-six out of the final twenty-seven)!",https://www.baseball-almanac.com/yearly/yr1883n.shtml,61
1883,10,"On April 13, 1883, the Cleveland Forest City team became the first professional ballclub to visit a sitting U.S. President in the White House - do you remember which president they spoke with?",https://www.baseball-almanac.com/yearly/yr1883n.shtml,71
1883,11,"On May 3, 1883, John Montgomery Ward of New York hit two home runs during one game versus Boston — this was the first time in baseball history any player had gone deep more than once during a Major League game!",https://www.baseball-almanac.com/yearly/yr1883n.shtml,72
1883,12,"On June 16, 1883, the New York Gothams host what some experts believed was the first ""Ladies Day"" game in Major League history.",https://www.baseball-almanac.com/yearly/yr1883n.shtml,73
1884,1,The National League expanded its schedule to one-hundred twelve games.,https://www.baseball-almanac.com/yearly/yr1884n.shtml,60
1884,2,"A rivalry was born in the ""Big Apple"" as the New York Giants and Brooklyn Trolley-Dodgers met for the first time in an exhibition game on April 18th.",https://www.baseball-almanac.com/yearly/yr1884n.shtml,61
1884,3,"On June 27th, Larry Corcoran of the Chicago White Stockings became the first pitcher in Major League history with three career no-hitters after blanking the Providence Grays 6-0.",https://www.baseball-almanac.com/yearly/yr1884n.shtml,62
1884,4,"Decades before Jackie Robinson ""officially"" broke baseball's color barrier, Moses Fleetwood Walker played forty-six Major League games for the American Association's Toledo Blue Stockings.",https://www.baseball-almanac.com/yearly/yr1884n.shtml,63
1884,5,"Thirty-one year-old rookie Sam Kimber (Brooklyn Trolley-Dodgers) tossed an eleven-inning, no-hitter against the Toledo Blue Stockings on October 4th. Unfortunately, darkness came before someone could score and the game was called at a 0-0 tie.",https://www.baseball-almanac.com/yearly/yr1884n.shtml,64
1884,6,"Outfielder Harry Wheeler became the only player ever to appear with five separate teams during the same season. Wheelers 1884 resume included five games with the St. Louis Browns (in the American Association) then on to the Union Association's Kansas City Unions (twenty games), Chicago Browns (seventeen games), Pittsburgh Stoogies (seventeen games) and Baltimore Monumentals (seventeen games).",https://www.baseball-almanac.com/yearly/yr1884n.shtml,65
1884,7,Philadelphia Keystones catcher Jack Clements became the first player ever to wear a chest protector in a Major League game. Roger Bresnahan would later popularize the device.,https://www.baseball-almanac.com/yearly/yr1884n.shtml,66
1884,8,← 1883 | 1884 Hitting Statistics League Leaders | 1885 →,https://www.baseball-almanac.com/yearly/yr1884n.shtml,68
1884,9,← 1883 | 1884 Pitching Statistics League Leaders | 1885 →,https://www.baseball-almanac.com/yearly/yr1884n.shtml,69
1884,10,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1884n.shtml,71
1884,11,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1884n.shtml,72
1884,12,"On May 30, 1884, Ned Williamson of Chicago became the first player in Major League history to ever hit three home runs during one game.",https://www.baseball-almanac.com/yearly/yr1884n.shtml,73
1884,13,"On June 7, 1884, Charlie Sweeney of Providence struck out a record nineteen batters during a game and it would take one-hundred two years (1986) before that Major League record would be broken (it was by Roger Clemens).",https://www.baseball-almanac.com/yearly/yr1884n.shtml,74
1884,14,"On June 27, 1884, Larry Corcoran pitched against the Providence Grays who were are ""on fire"" - winning ten consecutive games. The game; however, belonged to Corcoran who tossed his third career no hit game.",https://www.baseball-almanac.com/yearly/yr1884n.shtml,75
1884,8,"""David Orr, the old-time baseball player who covered first base for the Columbus American Association team in 1880, and later for the Brooklyn Nationals, died suddenly of heart disease Wednesday night at the home of his niece, Mrs. Harry Britton, in Richmond Hill."" - New York Times Obituary. 4 June 1919.",https://www.baseball-almanac.com/yearly/yr1884a.shtml,67
1884,13,"On May 1, 1884, Fleet Walker of the 1884 Toledo Blue Stockings stepped on the field and became the first black Major League baseball player. He had a tough day going 0-for-3 at the plate and committing four errors in the field, but improved during his next forty-one games until injuries sidelined him in September.",https://www.baseball-almanac.com/yearly/yr1884a.shtml,73
1884,14,"Did you know that the most passed balls by a catcher during an American Association game is six? That infamous record belongs to Alex Gardner of the 1884 Washington Nationals who was behind the plate on May 10, 1884, playing in his first (and only) Major League game.",https://www.baseball-almanac.com/yearly/yr1884a.shtml,74
1884,15,"The Columbus Colts were the first American Association team to fold, despite finishing second in 1884 and sixth in 1883. Their entire roster was sold to the Pittsburgh Alleghenys franchise for the total price of $6,000 on October 30, 1884.",https://www.baseball-almanac.com/yearly/yr1884a.shtml,75
1884,8,"""It isn't so long ago that a great American President - Abraham Lincoln - freed negro slaves. Now we have leagues which practice a reserve clause which holds athletic young men in perpetual bondage."" - Henry V. Lucas",https://www.baseball-almanac.com/yearly/yr1884u.shtml,67
1884,9,1884 Hitting Statistics League Leaders,https://www.baseball-almanac.com/yearly/yr1884u.shtml,68
1884,10,1884 Pitching Statistics League Leaders,https://www.baseball-almanac.com/yearly/yr1884u.shtml,69
1884,13,"Every single historic Union Associate team — which existed this one and only season in their history — is included up above, every player, every game, every score, all just a single click away.",https://www.baseball-almanac.com/yearly/yr1884u.shtml,74
1884,14,"There were two Union Associate No Hitters tossed during their short existence (1884 only). The first was by Dick Burns, August 26, 1884 and the second by Ed Cushman, September 28, 1884.",https://www.baseball-almanac.com/yearly/yr1884u.shtml,75
1885,1,"Spring Training began as Cap Anson and his Chicago White Stockings traveled to Hot Springs, Arkansas to prepare for the upcoming season.",https://www.baseball-almanac.com/yearly/yr1885n.shtml,61
1885,2,"The American Association leading St. Louis Browns and National League champion Chicago White Stockings went head-to-head for six Championship games (winning three each) resulting in a rare tie. Despite the forming of a special committee to determine a winner, both teams were declared champions and split the $1,000 purse - $500 each.",https://www.baseball-almanac.com/yearly/yr1885n.shtml,63
1885,3,"Both the American Association and National League set a maximum pay cap at $2,000 with no bonuses.",https://www.baseball-almanac.com/yearly/yr1885n.shtml,64
1885,4,← 1884 | 1885 Hitting Statistics League Leaders | 1886 →,https://www.baseball-almanac.com/yearly/yr1885n.shtml,66
1885,5,← 1884 | 1885 Pitching Statistics League Leaders | 1886 →,https://www.baseball-almanac.com/yearly/yr1885n.shtml,67
1885,6,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1885n.shtml,69
1885,7,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1885n.shtml,70
1885,8,"Old Hoss Radbourn (59 wins) and Charlie Sweeney (17 wins) combined for 76-victories in 1884, the most by a pair of pitchers in baseball history. In 1885, Mickey Welch (44 wins), in his rookie season, and Tim Keefe (32 wins) tied their incredible record!",https://www.baseball-almanac.com/yearly/yr1885n.shtml,71
1885,9,"On June 6, 1885, the Chicago White Stockings defeated St. Louis 9-2 in the first game ever played in West Side Park.",https://www.baseball-almanac.com/yearly/yr1885n.shtml,72
1885,10,"On October 7, 1885, the Buffalo Bisons lost both ends of a doubleheader to the Providence Grays. Dupee Shaw actually won both ends of the doubleheader AND tossed a five inning no-hitter during the first game.",https://www.baseball-almanac.com/yearly/yr1885n.shtml,73
1885,4,"""Wounds of a knife that was plunged into Big Ed Morris's chest during a fight at a fish fry given in his honor Monday night caused the death of the veteran pitcher for the Boston Red Sox here today."" - New York Times (March 4, 1932)",https://www.baseball-almanac.com/yearly/yr1885a.shtml,65
1885,9,"On June 7, 1885, the American Association formally adjusted their rules stating that all pitchers using an overhand delivery can do so without any type of delivery restrictions.",https://www.baseball-almanac.com/yearly/yr1885a.shtml,71
1885,10,"Did you know that the most consecutive games won on a team's home field by any Major League franchise is twenty-seven? That record belongs to the American Association St. Louis Browns who were finally defeated on July 18, 1885 by the Philadelphia Athletics.",https://www.baseball-almanac.com/yearly/yr1885a.shtml,72
1885,11,"The entire American Association cancelled all their games on August 8, 1885 in respect to the burial of former President Ulysses S. Grant in New York City, New York.",https://www.baseball-almanac.com/yearly/yr1885a.shtml,73
1886,1,Pitcher Jim McCormick of the Chicago White Stockings topped the New York Giants 7-3 on July 1st for his sixteenth consecutive win.,https://www.baseball-almanac.com/yearly/yr1886a.shtml,60
1886,2,The American Association Champion St. Louis Browns took on the National League Champion Chicago White Stockings and beat them in six games for the Championship title.,https://www.baseball-almanac.com/yearly/yr1886a.shtml,62
1886,3,Tip O'Neil of the Browns became the first player ever to hit two round-trippers in championship play after knocking two inside-the-park homers en route to a 12-0 massacre over Chicago.,https://www.baseball-almanac.com/yearly/yr1886a.shtml,63
1886,4,"Baltimore Orioles pitcher Matt Kilroy posted five-hundred thirteen strikeouts in sixty-eight games, but still finished the season with a 29-34 record and a last-place team.",https://www.baseball-almanac.com/yearly/yr1886a.shtml,64
1886,5,"""Although Mr. Larkin played baseball when the rules of the game were vastly different from those of today, he professed recently not to see much difference."" - New York Times Obituary (February 2, 1942)",https://www.baseball-almanac.com/yearly/yr1886a.shtml,65
1886,6,← 1885 | 1886 Hitting Statistics League Leaders | 1887 →,https://www.baseball-almanac.com/yearly/yr1886a.shtml,66
1886,7,← 1885 | 1886 Pitching Statistics League Leaders | 1887 →,https://www.baseball-almanac.com/yearly/yr1886a.shtml,67
1886,8,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1886a.shtml,69
1886,9,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1886a.shtml,70
1886,10,"On August 24, 1886, Matt Kilroy of the Baltimore Orioles struck out sixteen Philadelphia Athletics batters - a single game high for the season where he set the all-time record for strikeouts with five-hundred thirteen.",https://www.baseball-almanac.com/yearly/yr1886a.shtml,71
1886,11,Did you know that fans who attended games in the New York Metropolitans park on Staten Island were able to watch the Statue of Liberty being built while they enjoyed a game of baseball?,https://www.baseball-almanac.com/yearly/yr1886a.shtml,72
1886,12,"The 1886 American Association batting champion was Guy Hecker (.341) who narrowly defeated Pete Browning (.340). However, Hecker was a pitcher and became the first and only hurler to ever win a batting title from any league in any season in Major League history.",https://www.baseball-almanac.com/yearly/yr1886a.shtml,73
1886,2,"""The Bible of Baseball"" aka The Sporting News was established in St. Louis, Missouri. The publication began running in time for the baseball season, featuring all the National League games, and is still running through today.",https://www.baseball-almanac.com/yearly/yr1886n.shtml,61
1886,8,"Did you know that on May 31, 1886, New York played Detroit and attendance exceeded 20,000 for the first time in Major League history?",https://www.baseball-almanac.com/yearly/yr1886n.shtml,71
1886,9,"Why did we choose a Connie Mack quotation? Because he made his Major League debut on September 11, 1886, as a catcher with the Washington Senators.",https://www.baseball-almanac.com/yearly/yr1886n.shtml,72
1886,10,"On September 30, 1886, an agreement to play a best of seven winner take all ""World Series"" was accepted by the National League and American Association.",https://www.baseball-almanac.com/yearly/yr1886n.shtml,73
1887,1,The Philadelphia Phillies finished off their 1887 season with an unprecedented sixteen consecutive wins.,https://www.baseball-almanac.com/yearly/yr1887n.shtml,60
1887,2,"Detroit Wolverines owner Frederick Stearnes challenged American Association St. Louis owner Chris Von Der Ahe to a best-of-fifteen Championship series. The Wolverines prevailed winning eight games. Despite appearing in sixteen post-season games, the Browns receive nothing for their efforts as Von Der Ahe refused to share his profits.",https://www.baseball-almanac.com/yearly/yr1887n.shtml,61
1887,3,"Thomas Ramsey of the Louisville Colonels introduced the ""knuckleball"" pitch, which helped him to fan seventeen batters in a single game — twice.",https://www.baseball-almanac.com/yearly/yr1887n.shtml,63
1887,4,"On April 16th, Mike Griffin of the Baltimore Orioles became the first player ever to homer in his first Major League at-bat.",https://www.baseball-almanac.com/yearly/yr1887n.shtml,64
1887,5,"""He (Sam Thompson) was known as an outstanding clutch hitter and he collected over 200 hits three times, twice topping the National League in home runs and RBI."" - National Baseball Hall of Fame",https://www.baseball-almanac.com/yearly/yr1887n.shtml,65
1887,6,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1887n.shtml,66
1887,7,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1887n.shtml,67
1887,8,"On April 30, 1887, the Philadelphia Phillies defeated the New York Giants 19-10 in the first game ever played at the Baker Bowl.",https://www.baseball-almanac.com/yearly/yr1887n.shtml,71
1887,9,"On May 7, 1887, Sam Thompson became the first player to hit two bases loaded triples during the same game.",https://www.baseball-almanac.com/yearly/yr1887n.shtml,72
